cond_dummy,grade_dummy,bed_dummy,bath_dummy,floor_dummy,zip_dummy,is_renovated,price,sqft_living,sqft_lot,sqft_basement,yr_built
2.0,4.0,2.0,2.0,0.0,66.0,0.0,-0.866665051609733,-0.9806356103357138,-0.22818208629977743,-0.649582582956766,-0.5446991141927678
2.0,4.0,2.0,7.0,2.0,55.0,1.0,-0.0062387217201639545,0.5333243448770789,-0.1897405611866721,0.25986910214771347,-0.6808671934177443
2.0,3.0,1.0,2.0,0.0,16.0,0.0,-0.9807171339329628,-1.427199338132293,-0.1231439994643451,-0.649582582956766,-1.2936235499301378
4.0,4.0,3.0,10.0,0.0,58.0,0.0,0.17341372298945817,-0.13107534769831927,-0.2438774326085202,1.419420000655925,-0.20427891613032695
2.0,5.0,2.0,6.0,0.0,37.0,0.0,-0.08245491038485213,-0.436045698388666,-0.16950563779170835,-0.649582582956766,0.5446455196070431
2.0,8.0,3.0,16.0,0.0,29.0,0.0,1.8773899409928438,3.637486842975251,2.0966609023244582,2.829070112567868,1.0212337968944605
2.0,4.0,2.0,7.0,2.0,2.0,0.0,-0.769761611736058,-0.39792440455237266,-0.1999546096306693,-0.649582582956766,0.8169816780569958
2.0,4.0,2.0,4.0,0.0,68.0,0.0,-0.6762606802849137,-1.1113371892030053,-0.13012239190007843,-0.649582582956766,-0.27236295574281516
2.0,4.0,2.0,2.0,0.0,60.0,0.0,-0.8459778004007461,-0.32712771599925644,-0.1842351166352977,1.0101667423589091,-0.3744890151615474
2.0,4.0,2.0,8.0,2.0,23.0,0.0,-0.5914701703954481,-0.20731793537090595,-0.20620860146753756,-0.649582582956766,1.0893178365069485
2.0,5.0,2.0,8.0,0.0,6.0,0.0,0.33265111716389595,1.6116123705322334,-0.12806992353662744,3.215587078737272,-0.20427891613032695
3.0,4.0,1.0,2.0,0.0,49.0,0.0,-0.19677919338188438,-1.0024192068135958,-0.21973074597968517,0.032506180871593605,-0.9872453716739411
3.0,4.0,2.0,2.0,1.0,16.0,0.0,-0.6268562579897676,-0.7083406543621898,0.11593234484775043,-0.649582582956766,-1.4978756687676025
3.0,4.0,2.0,5.0,0.0,37.0,0.0,-0.38187565156755565,-0.7736914437958357,-0.1308709391855723,-0.649582582956766,0.20422532154460216
2.0,4.0,4.0,6.0,1.0,45.0,0.0,-0.028014775624360576,-0.2944523212824336,-0.24749943560284546,-0.649582582956766,-2.417010203536193
2.0,6.0,3.0,10.0,2.0,56.0,0.0,0.29862603293858875,0.9472126779568353,-0.2438774326085202,1.5558377534215968,0.27230936115709037
2.0,4.0,2.0,6.0,2.0,11.0,0.0,-0.3954856852576786,-0.20731793537090595,-0.02559138548385162,-0.649582582956766,0.7829396582507517
3.0,4.0,3.0,2.0,1.0,42.0,0.0,-0.15050507883546657,-0.5231800843001937,-0.2607801132487047,-0.649582582956766,-1.8723378866362874
3.0,4.0,1.0,2.0,0.0,1.0,0.0,-0.9562190732907415,-0.9588520138578318,-0.12676600245867034,-0.649582582956766,-1.702127787605067
3.0,4.0,2.0,2.0,0.0,2.0,0.0,-0.8446167970317339,-0.904393022663127,-0.1286011506424618,-0.649582582956766,-0.06811083690535058
3.0,4.0,3.0,5.0,0.0,57.0,0.0,-0.4227057526379243,-0.5013964878223117,-0.2443603663410969,1.078375618741745,-0.8170352726427206
2.0,6.0,2.0,9.0,0.0,25.0,0.0,3.9733351292717685,1.0561306603462448,0.7187785232232455,0.987430450231297,-0.10215285671159467
2.0,5.0,4.0,8.0,2.0,40.0,0.0,-0.6949064264403821,0.20657039770885033,-0.21248673999103468,-0.649582582956766,0.8169816780569958
2.0,4.0,1.0,4.0,0.0,18.0,0.0,-0.782827244078576,-1.1004453909640644,-0.1317643665908392,-0.649582582956766,0.4765614799945549
3.0,5.0,2.0,7.0,2.0,18.0,0.0,-0.5751381299673006,0.4026227660097875,-0.20765740266526767,-0.649582582956766,0.4765614799945549
